,ChEMBL_ID,INCHI,SMILES,TARGETS,Name,Synonyms,Type,Max_Phase,Molecular_Weight,Bioactivities,AlogP,PSA,HBA,HBD,#RO5_Violations,#Rotatable_Bonds,Passes_Ro3,QED_Weighted,ACD_ApKa,ACD_BpKa,ACD_LogP,ACD_LogD,Aromatic_Rings,Structure_Type,Inorganic_Flag,Heavy_Atoms,HBA_Lipinski,HBD_Lipinski,#RO5_Violations_(Lipinski),Molecular_Weight_(Monoisotopic),Molecular_Formula,image_link
10,CHEMBL477069,"InChI=1S/C28H32FN7O2/c1-3-12-36-13-4-5-18(16-36)17-6-9-22(24(14-17)38-2)33-28-34-26-21(10-11-31-26)27(35-28)32-23-15-19(29)7-8-20(23)25(30)37/h6-11,14-15,18H,3-5,12-13,16H2,1-2H3,(H2,30,37)(H3,31,32,33,34,35)",CCCN1CCCC(C1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2,IGF-1R,GSK-1173862A,GSK1173862A,Small molecule,0,517.61,466,5.28,121.19,7,4,2,9,N,0.24,13.32,9.39,5.08,2.97,4,MOL,-1,38,9,5,2,517.2602,C28H32FN7O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL477069.svg?engine=indigo
11,CHEMBL458865,"InChI=1S/C27H31FN8O2/c1-16(2)35-10-12-36(13-11-35)18-5-7-22(23(15-18)38-3)32-27-33-25-19(8-9-30-25)26(34-27)31-21-6-4-17(28)14-20(21)24(29)37/h4-9,14-16H,10-13H2,1-3H3,(H2,29,37)(H3,30,31,32,33,34)",COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)N)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,IGF-1R,GSK-1220512A,GSK1220512A,Small molecule,0,518.6,467,4.22,124.43,8,4,1,8,N,0.27,13.38,8.28,4.24,3.13,4,MOL,-1,38,10,5,1,518.2554,C27H31FN8O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL458865.svg?engine=indigo
12,CHEMBL476259,"InChI=1S/C28H32FN7O2/c1-3-12-36-13-9-17(10-14-36)18-4-7-22(24(15-18)38-2)33-28-34-26-21(8-11-31-26)27(35-28)32-23-16-19(29)5-6-20(23)25(30)37/h4-8,11,15-17H,3,9-10,12-14H2,1-2H3,(H2,30,37)(H3,31,32,33,34,35)",CCCN1CCC(CC1)c2ccc(Nc3nc(Nc4cc(F)ccc4C(=O)N)c5cc[nH]c5n3)c(OC)c2,IGF-1R,GSK-1326255A,GSK1326255A,Small molecule,0,517.61,466,5.28,121.19,7,4,2,9,N,0.24,13.32,9.24,5.16,3.18,4,MOL,-1,38,9,5,2,517.2602,C28H32FN7O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL476259.svg?engine=indigo
13,CHEMBL450071,"InChI=1S/C30H37FN8O4/c1-18(2)38-10-12-39(13-11-38)20-5-7-25(26(15-20)43-3)35-30-36-27-22(8-9-32-27)28(37-30)34-24-6-4-19(31)14-23(24)29(42)33-16-21(41)17-40/h4-9,14-15,18,21,40-41H,10-13,16-17H2,1-3H3,(H,33,42)(H3,32,34,35,36,37)/t21-/m1/s1",COc1cc(ccc1Nc2nc(Nc3ccc(F)cc3C(=O)NC[C@@H](O)CO)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,IGF-1R,GSK-1392956A,GSK1392956A,Small molecule,0,592.68,462,3.21,150.9,10,6,2,11,N,0.15,13.3,8.28,4.15,3.08,4,MOL,-1,43,12,6,3,592.2922,C30H37FN8O4,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL450071.svg?engine=indigo
14,CHEMBL458438,"InChI=1S/C29H32N8O/c1-19(2)36-14-16-37(17-15-36)20-9-10-25(26(18-20)38-3)33-29-34-27-22(11-13-31-27)28(35-29)32-24-8-4-7-23-21(24)6-5-12-30-23/h4-13,18-19H,14-17H2,1-3H3,(H3,31,32,33,34,35)",COc1cc(ccc1Nc2nc(Nc3cccc4ncccc34)c5cc[nH]c5n2)N6CCN(CC6)C(C)C,IGF-1R,GSK-1511931A,GSK1511931A,Small molecule,0,508.63,466,5.53,94.23,8,3,2,7,N,0.26,13.36,8.28,4.54,3.45,5,MOL,-1,38,9,3,2,508.2699,C29H32N8O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL458438.svg?engine=indigo
15,CHEMBL517171,"InChI=1S/C28H31ClFN7O3/c1-3-11-37-12-8-16(9-13-37)40-22-15-21(23(39-2)14-18(22)29)34-28-35-26-17(7-10-32-26)27(36-28)33-20-6-4-5-19(30)24(20)25(31)38/h4-7,10,14-16H,3,8-9,11-13H2,1-2H3,(H2,31,38)(H3,32,33,34,35,36)",CCCN1CCC(CC1)Oc2cc(Nc3nc(Nc4cccc(F)c4C(=O)N)c5cc[nH]c5n3)c(OC)cc2Cl,IGF-1R,GSK-1713088A,GSK1713088A,Small molecule,0,568.05,467,5.6,130.42,8,4,2,10,N,0.19,13.07,8.51,5.28,4.07,4,MOL,-1,40,10,5,2,567.2161,C28H31ClFN7O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL517171.svg?engine=indigo
16,CHEMBL505915,"InChI=1S/C31H36FN9O3/c1-18(2)40-13-11-39(12-14-40)17-26(42)41-10-8-19-15-25(44-3)23(16-24(19)41)36-31-37-29-20(7-9-34-29)30(38-31)35-22-6-4-5-21(32)27(22)28(33)43/h4-7,9,15-16,18H,8,10-14,17H2,1-3H3,(H2,33,43)(H3,34,35,36,37,38)",COc1cc2CCN(C(=O)CN3CCN(CC3)C(C)C)c2cc1Nc4nc(Nc5cccc(F)c5C(=O)N)c6cc[nH]c6n4,IGF-1R,GSK-1751853A,GSK1751853A,Small molecule,0,601.69,467,3.61,144.74,9,4,1,9,N,0.23,13.3,7.85,3.62,2.93,4,MOL,-1,44,12,5,2,601.2925,C31H36FN9O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL505915.svg?engine=indigo
17,CHEMBL384073,"InChI=1S/C19H16FN5O2/c1-10-16(17(24-19(27)22-10)11-2-4-13(20)5-3-11)18(26)23-14-6-7-15-12(8-14)9-21-25-15/h2-9,17H,1H3,(H,21,25)(H,23,26)(H2,22,24,27)",CC1=C(C(NC(=O)N1)c2ccc(F)cc2)C(=O)Nc3ccc4[nH]ncc4c3,ROCK1,GSK-180736A,GSK180736A,Small molecule,0,365.37,490,2.97,98.91,3,4,0,3,N,0.57,11.3,0.9,2,2,3,MOL,-1,27,7,4,0,365.1288,C19H16FN5O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL384073.svg?engine=indigo
18,CHEMBL514261,"InChI=1S/C27H30FN7O3/c1-16(2)34-11-13-35(14-12-34)17-7-8-20(22(15-17)38-3)31-27-32-24-18(9-10-29-24)25(33-27)30-21-6-4-5-19(28)23(21)26(36)37/h4-10,15-16H,11-14H2,1-3H3,(H,36,37)(H3,29,30,31,32,33)",COc1cc(ccc1Nc2nc(Nc3cccc(F)c3C(=O)O)c4cc[nH]c4n2)N5CCN(CC5)C(C)C,IGF-1R,GSK-1819799A,GSK1819799A,Small molecule,0,519.58,464,4.82,118.64,8,4,1,8,N,0.26,2.36,8.28,5.8,3.09,4,MOL,-1,38,10,4,1,519.2394,C27H30FN7O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL514261.svg?engine=indigo
19,CHEMBL517123,"InChI=1S/C28H25ClFN5O3S/c1-35(2)28(36)38-21-11-19(31-14-21)6-8-22-13-24-26(39-22)27(33-16-32-24)34-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,31H,11,14-15H2,1-2H3,(H,32,33,34)/t19-,21-/m1/s1",CN(C)C(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,EGFR/ErbB2,GSK-182497A,GSK182497A,Small molecule,0,566.06,474,5.59,88.61,8,2,2,6,N,0.29,No Data,6.81,6.59,6.53,4,MOL,-1,39,8,2,2,565.1351,C28H25ClFN5O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL517123.svg?engine=indigo
20,CHEMBL512076,"InChI=1S/C28H25ClFN5O3S/c1-2-31-28(36)38-21-11-19(32-14-21)6-8-22-13-24-26(39-22)27(34-16-33-24)35-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,32H,2,11,14-15H2,1H3,(H,31,36)(H,33,34,35)/t19-,21-/m1/s1",CCNC(=O)O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,EGFR/ErbB2,GSK-192082A,GSK192082A,Small molecule,0,566.06,475,5.63,97.4,8,3,2,7,N,0.25,12.71,6.83,6.64,6.57,4,MOL,-1,39,8,3,2,565.1351,C28H25ClFN5O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL512076.svg?engine=indigo
21,CHEMBL1909408,"InChI=1S/C31H29N7O3S.ClH/c39-31(37-10-12-40-13-11-37)41-25-15-23(32-18-25)6-8-26-16-27-29(42-26)30(34-20-33-27)36-24-7-9-28-22(14-24)17-35-38(28)19-21-4-2-1-3-5-21;/h1-5,7,9,14,16-17,20,23,25,32H,10-13,15,18-19H2,(H,33,34,36);1H/t23-,25-;/m1./s1",Cl.O=C(O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c3s2)N7CCOCC7,EGFR/ErbB2,GSK-200398A,GSK200398A,Small molecule,0,616.15,460,4.38,106.43,10,2,1,5,N,0.3,No Data,6.9,4.96,4.89,5,MOL,-1,42,10,2,1,579.2053,C31H30ClN7O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909408.svg?engine=indigo
22,CHEMBL473629,"InChI=1S/C22H21N3O4S/c1-27-17-10-15-16(11-18(17)28-2)25(13-24-15)20-12-19(21(30-20)22(23)26)29-9-8-14-6-4-3-5-7-14/h3-7,10-13H,8-9H2,1-2H3,(H2,23,26)",COc1cc2ncn(c3cc(OCCc4ccccc4)c(s3)C(=O)N)c2cc1OC,PLK1,GSK-204925A,GSK204925A,Small molecule,0,423.49,464,3.82,88.6,7,1,0,8,N,0.47,No Data,3.42,2.06,2.06,4,MOL,-1,30,7,2,0,423.1253,C22H21N3O4S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL473629.svg?engine=indigo
23,CHEMBL456252,"InChI=1S/C25H28N8O3S/c1-32(2)13-20(34)33-9-4-5-14-11-19(36-3)17(12-18(14)33)29-25-30-23-15(6-8-27-23)24(31-25)28-16-7-10-37-21(16)22(26)35/h6-8,10-12H,4-5,9,13H2,1-3H3,(H2,26,35)(H3,27,28,29,30,31)",COc1cc2CCCN(C(=O)CN(C)C)c2cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3,IGF-1R,GSK-2110236A,GSK2110236A,Small molecule,0,520.62,467,3.45,141.5,9,4,1,8,N,0.28,13.47,7.38,3.09,2.57,4,MOL,-1,37,11,5,2,520.2005,C25H28N8O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL456252.svg?engine=indigo
24,CHEMBL463931,"InChI=1S/C27H32N8O3S/c1-27(2)8-10-35(21(36)14-34(3)4)19-13-18(20(38-5)12-16(19)27)31-26-32-24-15(6-9-29-24)25(33-26)30-17-7-11-39-22(17)23(28)37/h6-7,9,11-13H,8,10,14H2,1-5H3,(H2,28,37)(H3,29,30,31,32,33)",COc1cc2c(cc1Nc3nc(Nc4ccsc4C(=O)N)c5cc[nH]c5n3)N(CCC2(C)C)C(=O)CN(C)C,IGF-1R,GSK-2163632A,GSK2163632A,Small molecule,0,548.67,467,4.19,141.5,9,4,1,8,N,0.26,13.47,7.38,3.36,2.84,4,MOL,-1,39,11,5,2,548.2318,C27H32N8O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL463931.svg?engine=indigo
25,CHEMBL458415,"InChI=1S/C27H29N7O2/c1-32(2)16-24(35)33-12-10-18-14-23(36-3)20(15-22(18)33)29-27-30-25-19(8-11-28-25)26(31-27)34-13-9-17-6-4-5-7-21(17)34/h4-8,11,14-15H,9-10,12-13,16H2,1-3H3,(H2,28,29,30,31)",COc1cc2CCN(C(=O)CN(C)C)c2cc1Nc3nc(N4CCc5ccccc45)c6cc[nH]c6n3,IGF-1R,GSK-2186269A,GSK2186269A,Small molecule,0,483.58,465,3.86,89.62,7,2,0,6,N,0.43,13.58,7.31,4.24,3.77,4,MOL,-1,36,9,2,0,483.2383,C27H29N7O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL458415.svg?engine=indigo
26,CHEMBL511765,"InChI=1S/C25H27FN8O3/c1-13-10-19(37-4)18(11-17(13)29-20(35)12-34(2)3)31-25-32-23-14(8-9-28-23)24(33-25)30-16-7-5-6-15(26)21(16)22(27)36/h5-11H,12H2,1-4H3,(H2,27,36)(H,29,35)(H3,28,30,31,32,33)",COc1cc(C)c(NC(=O)CN(C)C)cc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2,IGF-1R,GSK-2213727A,GSK2213727A,Small molecule,0,506.54,467,3.5,150.29,8,5,1,9,N,0.23,13.26,7.44,2.79,2.4,4,MOL,-1,37,11,6,3,506.219,C25H27FN8O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL511765.svg?engine=indigo
27,CHEMBL467581,"InChI=1S/C26H29FN8O3/c1-14-11-20(38-5)18(12-19(14)35(4)21(36)13-34(2)3)31-26-32-24-15(9-10-29-24)25(33-26)30-17-8-6-7-16(27)22(17)23(28)37/h6-12H,13H2,1-5H3,(H2,28,37)(H3,29,30,31,32,33)",COc1cc(C)c(cc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2)N(C)C(=O)CN(C)C,IGF-1R,GSK-2219385A,GSK2219385A,Small molecule,0,520.57,467,3.52,141.5,8,4,1,9,N,0.26,13.23,7.18,1.86,1.53,4,MOL,-1,38,11,5,2,520.2347,C26H29FN8O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL467581.svg?engine=indigo
28,CHEMBL1895450,"InChI=1S/C27H31N9O3/c1-28-26(38)23-18(8-5-10-29-23)31-25-17-9-11-30-24(17)33-27(34-25)32-19-14-20-16(13-21(19)39-4)7-6-12-36(20)22(37)15-35(2)3/h5,8-11,13-14H,6-7,12,15H2,1-4H3,(H,28,38)(H3,30,31,32,33,34)",CNC(=O)c1ncccc1Nc2nc(Nc3cc4N(CCCc4cc3OC)C(=O)CN(C)C)nc5[nH]ccc25,IGF-1R,GSK-2220400A,GSK2220400A,Small molecule,0,529.61,463,3.05,140.4,9,4,1,8,N,0.27,13.04,7.38,3.22,2.89,4,MOL,-1,39,12,4,2,529.255,C27H31N9O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1895450.svg?engine=indigo
29,CHEMBL521806,"InChI=1S/C22H20ClN3O4S/c1-12(13-6-4-5-7-14(13)23)30-19-10-20(31-21(19)22(24)27)26-11-25-15-8-17(28-2)18(29-3)9-16(15)26/h4-12H,1-3H3,(H2,24,27)/t12-/m0/s1",COc1cc2ncn(c3cc(O[C@@H](C)c4ccccc4Cl)c(s3)C(=O)N)c2cc1OC,PLK1,GSK-237700A,GSK237700A,Small molecule,0,457.94,462,5,88.6,7,1,0,7,N,0.42,No Data,3.4,2.31,2.31,4,MOL,-1,31,7,2,0,457.0863,C22H20ClN3O4S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL521806.svg?engine=indigo
30,CHEMBL222419,"InChI=1S/C22H20ClN3O4S/c1-12(13-6-4-5-7-14(13)23)30-19-10-20(31-21(19)22(24)27)26-11-25-15-8-17(28-2)18(29-3)9-16(15)26/h4-12H,1-3H3,(H2,24,27)/t12-/m1/s1",COc1cc2ncn(c3cc(O[C@H](C)c4ccccc4Cl)c(s3)C(=O)N)c2cc1OC,PLK1,GSK-237701A,GSK237701A,Small molecule,0,457.94,466,5,88.6,7,1,0,7,N,0.42,No Data,3.4,2.31,2.31,4,MOL,-1,31,7,2,0,457.0863,C22H20ClN3O4S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL222419.svg?engine=indigo
31,CHEMBL466412,"InChI=1S/C28H25ClFN5O3S/c1-35(2)28(36)38-21-11-19(31-14-21)6-8-22-13-24-26(39-22)27(33-16-32-24)34-20-7-9-25(23(29)12-20)37-15-17-4-3-5-18(30)10-17/h3-5,7,9-10,12-13,16,19,21,31H,11,14-15H2,1-2H3,(H,32,33,34)/t19-,21-/m0/s1",CN(C)C(=O)O[C@@H]1CN[C@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,EGFR/ErbB2,GSK-238063A,GSK238063A,Small molecule,0,566.06,463,5.59,88.61,8,2,2,6,N,0.29,No Data,6.81,6.59,6.53,4,MOL,-1,39,8,2,2,565.1351,C28H25ClFN5O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL466412.svg?engine=indigo
32,CHEMBL1909409,"InChI=1S/C30H29N5O3S.C2HF3O2/c36-30(35-12-14-37-15-13-35)38-25-17-24(31-19-25)10-11-26-18-27-28(39-26)29(33-20-32-27)34-23-8-6-22(7-9-23)16-21-4-2-1-3-5-21;3-2(4,5)1(6)7/h1-9,18,20,24-25,31H,12-17,19H2,(H,32,33,34);(H,6,7)/t24-,25-;/m1./s1",OC(=O)C(F)(F)F.O=C(O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(Cc5ccccc5)cc4)c3s2)N6CCOCC6,EGFR/ErbB2,GSK-238583A,GSK238583A,Small molecule,0,653.68,460,4.58,88.61,8,2,1,5,N,0.36,No Data,6.9,5.86,5.78,4,MOL,-1,39,8,2,1,539.1991,C32H30F3N5O5S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909409.svg?engine=indigo
33,CHEMBL220465,"InChI=1S/C25H24N8O3/c1-4-33-20-13-21(27-14-19(20)29-24(33)22-23(26)31-36-30-22)35-18-7-5-6-16(12-18)28-25(34)15-8-10-17(11-9-15)32(2)3/h5-14H,4H2,1-3H3,(H2,26,31)(H,28,34)",CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(cc4)N(C)C)c3)cc12)c5nonc5N,ROCK1,GSK-248233A,GSK248233A,Small molecule,0,484.52,473,4.19,137.22,10,2,0,7,N,0.35,13.85,4.64,2.67,2.67,5,MOL,-1,36,11,3,1,484.1971,C25H24N8O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL220465.svg?engine=indigo
34,CHEMBL1909410,"InChI=1S/C32H28F2N6O3S.C2HF3O2/c33-22-1-5-27(34)21(13-22)18-40-8-7-20-14-24(3-6-29(20)40)38-31-30-28(36-19-37-31)16-26(44-30)4-2-23-15-25(17-35-23)43-32(41)39-9-11-42-12-10-39;3-2(4,5)1(6)7/h1,3,5-8,13-14,16,19,23,25,35H,9-12,15,17-18H2,(H,36,37,38);(H,6,7)/t23-,25-;/m1./s1",OC(=O)C(F)(F)F.Fc1ccc(F)c(Cn2ccc3cc(Nc4ncnc5cc(C#C[C@@H]6C[C@H](CN6)OC(=O)N7CCOCC7)sc45)ccc23)c1,EGFR/ErbB2,GSK-259178A,GSK259178A,Small molecule,0,728.7,459,5.27,93.54,9,2,2,5,N,0.26,No Data,6.9,6.58,6.51,5,MOL,-1,44,9,2,2,614.1912,C34H29F5N6O5S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909410.svg?engine=indigo
35,CHEMBL1909363,"InChI=1S/C29H30N8O5.ClH/c1-2-37-24-17-25(31-18-23(24)33-28(37)26-27(30)35-42-34-26)41-22-5-3-4-20(16-22)32-29(38)19-6-8-21(9-7-19)40-15-12-36-10-13-39-14-11-36;/h3-9,16-18H,2,10-15H2,1H3,(H2,30,35)(H,32,38);1H",Cl.CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc12)c6nonc6N,ROCK1,GSK-269962B,GSK269962B,Small molecule,0,607.07,458,3.84,155.68,12,2,2,10,N,0.25,13.19,6.31,2.18,2.15,5,MOL,-1,42,13,3,2,570.2339,C29H31ClN8O5,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909363.svg?engine=indigo
